,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
3079,199,2017-03-16,870.53,872.71,867.52,870.0,1104452.0,0.0,1.0,870.53,872.71,867.52,870.0,1104452.0,GOOGL
952,199,2017-03-16,262.4,265.75,259.06,262.05,7132153.0,0.0,1.0,262.4,265.75,259.06,262.05,7132153.0,TSLA
1705,198,2017-03-17,192.08,195.74,192.08,194.03,120610.0,0.0,1.0,191.43791294026,195.08567825347,191.43791294026,193.3813944596,120610.0,COKE
951,198,2017-03-17,264.0,265.33,261.2,261.5,6497496.0,0.0,1.0,264.0,265.33,261.2,261.5,6497496.0,TSLA
197,197,2017-03-17,141.0,141.0,139.89,139.99,43884952.0,0.0,1.0,139.85787997953,139.85787997953,138.75687113714,138.85606112294,43884952.0,AAPL
2324,63,2017-03-17,46.73,46.9,46.5,46.59,6192404.0,0.0,1.0,46.73,46.9,46.5,46.59,6192404.0,YHOO
3078,198,2017-03-17,873.68,874.42,868.37,872.37,1868252.0,0.0,1.0,873.68,874.42,868.37,872.37,1868252.0,GOOGL
196,196,2017-03-20,140.4,141.5,140.23,141.46,21542038.0,0.0,1.0,139.26274006472,140.35382990853,139.09411708886,140.31415391421,21542038.0,AAPL
1704,197,2017-03-20,194.27,195.6999,192.6371,195.23,45496.0,0.0,1.0,193.62059218505,195.04571230018,191.99315066048,194.57738308688,45496.0,COKE
3077,197,2017-03-20,869.48,870.34,864.665,867.91,1542199.0,0.0,1.0,869.48,870.34,864.665,867.91,1542199.0,GOOGL
2323,62,2017-03-20,46.62,47.16,46.52,46.77,5822991.0,0.0,1.0,46.62,47.16,46.52,46.77,5822991.0,YHOO
950,197,2017-03-20,260.6,264.55,258.821,261.92,3614294.0,0.0,1.0,260.6,264.55,258.821,261.92,3614294.0,TSLA
2322,61,2017-03-21,47.0,47.19,45.68,45.77,6469439.0,0.0,1.0,47.0,47.19,45.68,45.77,6469439.0,YHOO
949,196,2017-03-21,262.83,264.8,250.24,250.68,6908554.0,0.0,1.0,262.83,264.8,250.24,250.68,6908554.0,TSLA
195,195,2017-03-21,142.11,142.8,139.73,139.84,39529912.0,0.0,1.0,140.95888882192,141.64329972395,138.59816715985,138.70727614423998,39529912.0,AAPL
1703,196,2017-03-21,195.62,198.0,194.5,195.0,84132.0,0.0,1.0,194.96607939074,197.33812350152,193.84982333861,194.34815193331,84132.0,COKE
